Workorder Number,Brand,Product Line,Description ,MOLD,Mold Serial,Paint Code,Paint Description,WO St,VIN Number,Window1,Window2,Handles,Skirt,Door
11449234,SNUGTOP BRAND PRODUCT,SNUGPRO CHU,TERMINIX CHU 62GC15,CHU 62GC15,2103,96,96 QUICKSILVER WA8867 B8795,50,,,,TOOLBOX HANDLE,,
11449306,SNUGTOP BRAND PRODUCT,SNUGPRO CHU,TERMINIX CHU 62GC15,CHU 62GC15,2103,96,96 QUICKSILVER WA8867 B8795,70,,,,TOOLBOX HANDLE,,
11449317,SNUGTOP BRAND PRODUCT,SNUGPRO CHU,TERMINIX CHU 62GC15,CHU 62GC15,2103,96,96 QUICKSILVER WA8867 B8795,50,,,,TOOLBOX HANDLE,,
11449319,SNUGTOP BRAND PRODUCT,SNUGPRO CHU,TERMINIX CHU 62GC15,CHU 62GC15,2103,96,96 QUICKSILVER WA8867 B8795,70,,,,TOOLBOX HANDLE,,
11449321,SNUGTOP BRAND PRODUCT,SNUGPRO CHU,TERMINIX CHU 62GC15,CHU 62GC15,2103,96,96 QUICKSILVER WA8867 B8795,70,,,,TOOLBOX HANDLE,,
11449511,SNUGTOP BRAND PRODUCT,SNUGPRO CHU,TERMINIX CHU 62GC15,CHU 62GC15,2103,96,96 QUICKSILVER WA8867 B8795,70,,,,TOOLBOX HANDLE,,
11449516,SNUGTOP BRAND PRODUCT,SNUGPRO CHU,TERMINIX CHU 62GC15,CHU 62GC15,2103,96,96 QUICKSILVER WA8867 B8795,30,,,,TOOLBOX HANDLE,,
11477934,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 52TCDC16,CAB HI 52TCDC16,,40,040 SUPER WHITE W8430,20,,WINDOW NB SLIDER / #13 OPT-DS,WINDOW NB SLIDER / #13 OPT-PS,,18589 FIBERGLASS TG PIECE,RD 15-3/4X55-1/4X18.5DEG
11478159,LEER BRAND PRODUCT,LEER 100SCC,100SCC 58GSO19 NOT RELEASED,REBEL 66GSO19H,,NO ,NO PAINT OPTION,70,,SIDE ACCESS DOOR FG 17X45,SIDE ACCESS DOOR FG 17X45,DROP T 3-PT BOLT 102,,DOOR SKIRT ABS 100S/SCC GS19
11656252,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 52TCDC16,CAB HI 52TCDC16,,40,040 SUPER WHITE W8430,20,,WINDOW NB SLIDER / #13 OPT-DS,WINDOW NB SLIDER / #13 OPT-PS,,18589 FIBERGLASS TG PIECE,RD 15-3/4X55-1/4X18.5DEG
11704825,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 52TCDC16,CAB HI 52TCDC16,,40,040 SUPER WHITE W8430,20,,WINDOW NB SLIDER / #13 OPT-DS,WINDOW NB SLIDER / #13 OPT-PS,,18589 FIBERGLASS TG PIECE,RD 15-3/4X55-1/4X18.5DEG
11704949,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 52TCDC16,CAB HI 52TCDC16,,1G3,1G3 MAGNETIC GREY EFF,20,,WINDOW NB SLIDER / #13 OPT-DS,WINDOW NB SLIDER / #13 OPT-PS,,18589 FIBERGLASS TG PIECE,RD 15-3/4X55-1/4X18.5DEG
11717044,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 52TCDC16,CAB HI 52TCDC16,,1G3,1G3 MAGNETIC GREY EFF,20,,WINDOW NB SLIDER / #13 OPT-DS,WINDOW NB SLIDER / #13 OPT-PS,,18589 FIBERGLASS TG PIECE,RD 15-3/4X55-1/4X18.5DEG
11938353,SNUGTOP BRAND PRODUCT,SNUGTOP SPORT HI-LINER,SPORT HI LINER 52TCDC16,SPORT HI LINER 52TCDC16,1983,1D6,1D6 SILVERSKY PM M9912,30,,DS RS/SS 14X47-3/4 6/23,WINDOOR SLIDER 14X44X15DEG,WINDOOR HANDLE PRM( ) 1-1/2IN,,TAILGATE TACOMA HL
11938371,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 52TCDC16,CAB HI 52TCDC16,,6V7,6V7 DARK GREEN,20,,WINDOW NB SLIDER / #13 OPT-DS,WINDOW NB SLIDER / #13 OPT-PS,,18589 FIBERGLASS TG PIECE,RD 15-3/4X55-1/4X18.5DEG
11941707,SNUGTOP BRAND PRODUCT,SNUGTOP SUPER SPORT,SUPER SPORT 52TCDC16 TADV,SUPER SPORT 52TCDC16,1952,1.00E+07,1E7 SILVER P4965,30,,2016 TACOMA DC SB,2014 COLORADO POPOUT DS,TG/SL LIFT TAB-BLK E-COAT,,TOYOTA TACOMA 2016
